SoxN:

> enhancer_pvalues[enhancer_pvalues$p <= 0.01, ]
                   Name        Z            p
27           Adar.22G07 2.619409 0.0044041135
30          AlCR2.67A12 2.647792 0.0040509651
64           bab2.40E05 2.408555 0.0080079159
162        CG4168.51D01 2.508592 0.0060606656
191            ct.35A02 3.717499 0.0001006025
201           dac.67D10 2.370462 0.0088829468
329            gt.44A04 3.237405 0.0006031101
330            gt.44E03 2.927297 0.0017096114
331            gt.45F06 2.604707 0.0045976393
338             h.13E07 2.834900 0.0022919984
344          Hr46.16B09 2.550869 0.0053727300
390           lea.28F02 2.740696 0.0030654581
407          Mef2.44E08 3.223448 0.0006332862
408          Mef2.45F04 2.804362 0.0025208153
420          mspo.49G04 2.391107 0.0083988196
431 nAcRalpha-34E.20A01 2.787824 0.0026531704
450    neuroligin.55G05 2.550280 0.0053818282
476           opa.77B03 2.505049 0.0061217269
568        Sox21a.43E09 2.442458 0.0072938171
586        Src64B.33C08 2.411267 0.0079486017
632           tup.76B03 2.391533 0.0083890859
670            wg.16H05 2.405576 0.0080735018


Dichaete (p < 0.01):

88           CadN.32E04 2.450952 0.0071239411
231            Dr.19B03 2.364253 0.0090332301
235            ds.18E03 3.350833 0.0004028442
260           fru.22A11 2.526568 0.0057591545
282           grn.27A09 2.513717 0.0059733047
286         gsb-n.69E07 3.418558 0.0003147692
288            gt.44A04 2.761960 0.0028727771
377 nAcRalpha-30D.20H05 2.376645 0.0087354467
378 nAcRalpha-30D.21D02 2.605460 0.0045875470
389          NAT1.69G10 2.861382 0.0021089916
432          pdm2.11G10 2.333259 0.0098172679
501          slp1.35H02 3.022603 0.0012530546
509        Sox21b.73A12 3.005047 0.0013276983
556           tll.31H09 3.052851 0.0011333929
