"Name","Start","Z","p"
"8","5-HT1A.53C10","90",2.44226088845185,0.00729779738794311
"89","Adar.21H11","750",2.83730838952708,0.00227478225858705
"96","Adar.22G07","4818",2.83730838952708,0.00227478225858705
"108","AlCR2.67A12","2120",2.59263804587262,0.0047621474665052
"110","AlCR2.67A12","482",2.39371068053503,0.00833944970269197
"116","AlstR.22F12","5000",2.36370246175608,0.00904666867512695
"232","Awh.33E05","220",2.74406683522897,0.00303415908197617
"242","Awh.33G12","3591",2.74406683522897,0.00303415908197617
"245","bab2.40E05","238",3.10440279730724,0.000953317827418137
"255","beat-IIa.49A12","3550",3.30925698646987,0.000467719662917218
"289","beat-IIIc.48F12","1533",2.69361651870978,0.00353407176078595
"305","beat-IIIc.49D08","1757",2.48628930679812,0.0064541489966517
"324","beat-IIIc.49H10","5608",2.98769556013383,0.0014054469961569
"343","bin.41E05","2206",2.33432423138383,0.00978937542881111
"381","Btk29A.37A12","5955",2.54411822208627,0.0054776999283048
"417","CadN.32C09","246",2.61579584016463,0.00445098835177307
"418","CadN.32C09","3124",2.61045438276369,0.00452110153137144
"436","CadN.32D07","4328",2.61579584016463,0.00445098835177307
"512","Cbp53E.67C01","3333",2.6549159286118,0.00396640882121563
"601","CG13624.60A09","3523",2.44332746632294,0.00727626301163094
"611","CG14509.55D02","3268",3.23146701534263,0.000615782686197311
"674","CG32204.58F12","86",2.8721450401038,0.00203847901270299
"684","CG32432.48H03","1179",2.87811562272103,0.00200029240613067
"701","CG3967.58H02","3877",2.71086563879932,0.00335539067366758
"708","CG4168.51D01","2509",2.48549382780621,0.00646859153060999
"725","CG4575.82F02","1821",2.36007595019326,0.00913559694855926
"815","ct.35A02","1093",2.8415664995614,0.00224462441659927
"836","D.12E09","619",2.40599344174194,0.00806427712490169
"837","D.12E09","868",2.46340163859041,0.00688128257845815
"893","Dh31-R1.23H02","851",2.36267645146059,0.00907175097778956
"896","Dh31-R1.24D11","2086",2.8483508353645,0.00219732245164845
"909","Dh31-R1.25A08","2818",3.65809636011709,0.000127047760457261
"931","Dl.24F04","4444",2.45758273128402,0.00699377945712474
"957","dl.26C10","8",3.21243762718507,0.000658068617208381
"972","DmsR-1.64C06","5452",3.3434791777351,0.00041367451332938
"988","dnc.14E05","1055",2.48662672069114,0.0064480316092497
"1004","Doc1.44B11","807",2.55083798006274,0.00537321353293766
"1029","dpn.12B03","1307",2.40148076243001,0.00816443381208211
"1167","Egfr.22F09","1432",3.40337396745774,0.000332795561370521
"1297","Gprk2.13A07","1576",2.79645330534095,0.00258334381989715
"1347","grn.27B03","3888",3.52162034445861,0.000214458967320622
"1360","gt.44A04","2668",2.58076273477581,0.00492911548332778
"1404","h.13E07","3344",2.9486236062581,0.0015959623336017
"1428","Hr46.16B09","916",2.80839587613625,0.00248944901348858
"1435","Hs3st-A.59D10","3541",3.20049247190241,0.000685964766160592
"1448","hth.44C06","3981",2.35860895402812,0.00917178704987655
"1487","hth.46B08","5045",2.39884724168408,0.00822338714366325
"1517","Ipp.51F05","3545",2.51451774639202,0.00595976517769039
"1528","jigr1.43E06","533",2.50416096972397,0.00613710884395805
"1559","kn.13C11","2726",2.36447393425667,0.0090278489391783
"1564","kni.45C03","138",2.76721235379316,0.00282689571129333
"1574","Kr.80H05","608",2.55528733381249,0.00530500868181097
"1578","lea.28A12","1751",2.70239444577474,0.0034421019484542
"1598","lea.28F02","2736",3.27062723836334,0.000536546279634094
"1625","Lim1.33F01","19",2.4061879498071,0.00805998449796739
"1629","Lim1.34B04","3613",2.4061879498071,0.00805998449796739
"1688","Mef2.44E08","2397",3.01659519396826,0.00127815469131644
"1704","milt.25H08","397",2.69520842732162,0.00351723066965796
"1756","nAcRalpha-30D.21D02","5102",2.71373771407228,0.00332644086489298
"1764","nAcRalpha-30D.21D06","746",3.01074742044282,0.00130302766656311
"1765","nAcRalpha-34E.20A01","1553",2.44201098287364,0.00730285113861523
"1866","neuroligin.55G05","5242",2.3951047797402,0.00830780814366428
"1925","nub.13G06","3558",2.8152454144671,0.00243699987921989
"1956","opa.77B03","291",2.32953645437814,0.0099153320580723
"2008","pdm3.10H09","741",3.17966965740351,0.000737215152708396
"2122","rdgA.38C08","4280",2.47737054135256,0.00661772070772099
"2140","Rdl.70F07","4018",2.73269634674873,0.0031409108435759
"2208","rst.38E07","3462",3.17285177244132,0.000754747850538725
"2240","Sema-1a.33E11","22",2.9549823052625,0.00156343492118899
"2346","slp2.79H10","3361",2.50675809979486,0.00609220328901216
"2355","sNPF-R.64H01","3787",2.52967386613778,0.00570842964719453
"2361","Sox21a.43E09","1347",2.82958009412592,0.00233045660210747
"2433","sr.74D08","2233",2.68930885644762,0.00358000693895627
"2573","tll.31H09","2630",2.55999571430107,0.00523367270489135
"2580","tna.59F09","1772",2.59259411510605,0.00476275572660336
"2589","tna.59G03","1992",3.16139319159554,0.000785081954109808
"2627","Ubx.31D08","1754",2.5893199623903,0.00480828471506666
"2646","Ubx.32A10","1265",2.69016412484742,0.00357084428564247
"2677","Ubx.39A02","277",2.82014188205935,0.00240012100119476
"2687","vnd.69H05","928",2.9941523022109,0.00137604265167617
"2751","wb.17A05","5465",2.57670453405024,0.00498735864844232
"2766","wg.17A10","703",2.48866664125465,0.00641115654679517
"2800","zfh1.35C07","2441",2.58277726686362,0.00490042870046721
"2811","zip.51A11","2061",2.37772387834422,0.00870993240504891
