"Name" "Start" "Z" "p"
"9" "5-HT1A.54A11" "992" 1.7742218112539 0.038013233888696
"26" "ab.75F07" "1497" 1.98036069765847 0.0238315064489833
"38" "Abd-B.35C08" "729" 1.7742218112539 0.038013233888696
"40" "Abd-B.35D11" "3107" 1.7742218112539 0.038013233888696
"51" "al.36C05" "1601" 1.76432279729564 0.038838823946575
"64" "AlstR.24B04" "2572" 1.7742218112539 0.038013233888696
"70" "amon.76F10" "3658" 1.81225997865811 0.034973017666144
"99" "ari-1.23G09" "1432" 1.75142497388086 0.0399363671438165
"138" "beat-IIa.50B12" "3661" 1.79979214671885 0.0359467322324354
"157" "beat-IIIc.49H10" "3531" 2.32333154939191 0.0100806741062613
"219" "CadN.32E04" "589" 2.18177824463625 0.0145629514708639
"228" "CadN.32F03" "4719" 2.18177824463625 0.0145629514708639
"244" "Cbp53E.67C01" "2798" 1.8463809387377 0.0324184564567116
"245" "Cbp53E.67C01" "4159" 1.79819201646219 0.0360732921390179
"249" "CcapR.64E05" "2791" 1.7742218112539 0.038013233888696
"257" "Ccn.53F07" "3212" 1.88017085730803 0.0300423980046991
"275" "CG11221.48E07" "969" 1.70101762031235 0.0444698392595584
"287" "CG13479.81A06" "2438" 2.27934746152734 0.0113232093967329
"308" "CG16778.39H06" "2238" 1.66109340557923 0.0483473443431324
"312" "CG2016.47A09" "192" 1.81132099424216 0.0350455888589583
"343" "CG3822.49G09" "507" 1.98036069765847 0.0238315064489833
"364" "CG6495.52B05" "1064" 1.69463359515451 0.0450724749464712
"374" "CG7918.72D10" "10464" 1.78346749845424 0.0372551170643631
"387" "chinmo.42C04" "3648" 1.69147415863087 0.0453731395902685
"392" "chinmo.42E08" "5846" 2.56113629855256 0.00521652081195596
"420" "cwo.11A02" "1461" 1.84810678644567 0.0322934481166087
"423" "D.12E09" "621" 1.66109340557923 0.0483473443431324
"425" "D.12E09" "852" 1.7742218112539 0.038013233888696
"463" "Dh31-R1.25A08" "2820" 1.7742218112539 0.038013233888696
"476" "disco.37A07" "3197" 2.20029194256873 0.0138930942950413
"485" "Dl.24F04" "83" 1.7742218112539 0.038013233888696
"497" "Dl.37A05" "4373" 1.98036069765847 0.0238315064489833
"515" "dnc.14E05" "1057" 1.71596865866973 0.0430838894491342
"540" "DopR.72C01" "3959" 1.7742218112539 0.038013233888696
"572" "Dr.18H04" "602" 1.65738607361732 0.0487207225865193
"574" "Dr.19B03" "854" 2.2908552501215 0.0109858934521175
"583" "ds.18E03" "3764" 1.652466352235 0.049219759472832
"584" "ds.18E03" "4422" 2.93544547957005 0.00166534568186974
"602" "eg.69D01" "4286" 1.65755208253068 0.0487039541040943
"606" "Egfr.22F09" "1304" 1.64657112463834 0.04982311483404
"614" "Eip78C.36A03" "2238" 1.78951292117196 0.0367661242189642
"619" "Eip78C.36D03" "1452" 1.7742218112539 0.038013233888696
"634" "Fer2.12H03" "3718" 1.90813569231558 0.0281868403031021
"635" "fra.28H03" "1064" 1.69939252603048 0.0446226246320092
"637" "fru.22A11" "2286" 1.64513426440155 0.0499710629565455
"638" "fru.22A11" "2731" 1.92797245416737 0.0269292762609381
"658" "gish.27E03" "1669" 2.19970723128915 0.0139138367096012
"682" "grn.26F12" "2783" 1.73641206807746 0.04124549996611
"700" "gsb-n.69E06" "1880" 2.02023161578836 0.0216796841542051
"703" "gsb-n.69E07" "1902" 1.95582907628112 0.0252426462191183
"704" "gsb-n.69E07" "1992" 1.88412339087234 0.0297741434704614
"705" "gsb-n.69E07" "2087" 1.85162357617647 0.0320399475737298
"709" "gt.44A04" "245" 2.59612776510379 0.00471404999505949
"718" "gt.46C05" "4486" 2.59612776510379 0.00471404999505949
"721" "Gycbeta100B.13D05" "3552" 1.77721529546377 0.0377664119067526
"731" "hh.28E04" "1291" 1.79450632440435 0.0363661950367971
"747" "hth.43H09" "2206" 1.89298922149935 0.029179651432344
"755" "hth.45D07" "922" 1.89298922149935 0.029179651432344
"776" "hth.46D05" "986" 1.74239740321905 0.0407194649998031
"780" "hth.46E11" "862" 2.10654543559412 0.017578500364304
"792" "jigr1.46E09" "3001" 2.14405840519852 0.0160141036618839
"807" "Kr.80H05" "1400" 1.72795644325025 0.0419980168529913
"810" "lea.28A12" "1751" 2.23532924751038 0.0126978706491368
"843" "lola.45H06" "331" 2.02692050819011 0.0213352714099527
"846" "lola.45H07" "3542" 1.72795644325025 0.0419980168529913
"864" "MESK2.52B12" "4203" 2.18126318605349 0.0145819778394955
"873" "mp.53E08" "374" 1.79221597596768 0.0365491882533994
"882" "mspo.49G04" "2016" 1.98036069765847 0.0238315064489833
"886" "mspo.50A07" "4089" 1.90208499634822 0.0285800218065866
"895" "nAcRalpha-30D.20H05" "488" 2.00021480921685 0.0227385366819833
"896" "nAcRalpha-30D.21D02" "5104" 1.80623495358725 0.0354408236417932
"897" "nAcRalpha-30D.21D02" "68" 1.88884995259826 0.0294559685879307
"902" "nAcRalpha-34E.20F01" "1026" 1.89298922149935 0.029179651432344
"926" "NAT1.69G10" "2454" 2.09618380623454 0.0180329444532224
"927" "NAT1.69G10" "4063" 1.7742218112539 0.038013233888696
"929" "Nckx30C.50C04" "1328" 2.18782465709478 0.0143411885431818
"941" "net.12F05" "2760" 1.75004472698028 0.0400552980909004
"950" "NetB.30C07" "462" 2.49145741144389 0.00636101090550927
"992" "nub.13G06" "1169" 1.74239740321905 0.0407194649998031
"1005" "OdsH.42D05" "1670" 1.85738184233018 0.0316284239691478
"1022" "pdm2.11F06" "181" 1.98036069765847 0.0238315064489833
"1029" "pdm2.11G10" "1667" 2.22594010060085 0.0130090969374611
"1035" "pdm3.10H09" "83" 1.90790616663399 0.0282016725620078
"1063" "pog.72A02" "4052" 1.7742218112539 0.038013233888696
"1064" "pog.72A02" "4224" 1.83706796049556 0.0330999316517434
"1080" "ptc.69F11" "1802" 1.72030911948903 0.0426881333227756
"1085" "Pvf3.77C09" "3060" 1.98036069765847 0.0238315064489833
"1096" "Pvf3.77D12" "1018" 1.7742218112539 0.038013233888696
"1109" "Pvf3.77E07" "2918" 1.85940048747338 0.031485196384432
"1129" "retn.9F02" "2722" 1.96569877786278 0.0246667080437228
"1157" "rst.38A04" "3119" 1.72795644325025 0.0419980168529913
"1173" "sc.15A09" "4399" 1.74471311697913 0.040517409443905
"1180" "sc.15C11" "3842" 1.64946469905052 0.0495262347249363
"1187" "Sema-1a.34A12" "3157" 1.89682113975031 0.028925774143465
"1194" "Sema-5c.71C08" "1691" 1.98036069765847 0.0238315064489833
"1222" "sim.15F08" "410" 1.75917952321047 0.0392735105621491
"1235" "slp1.35H02" "4365" 2.41160291629992 0.00794128433169164
"1244" "so.15E10" "2179" 2.2547751238104 0.0120737237377245
"1255" "Sox21b.73A12" "3786" 2.12591331719488 0.0167552389131886
"1256" "Sox21b.73A12" "64" 2.26853251254836 0.0116483848462293
"1269" "SoxN.41G07" "2750" 2.04567001972024 0.0203944236579659
"1303" "stan.31E07" "227" 1.79760366609966 0.0361199184875384
"1306" "stan.32A08" "2960" 1.79760366609966 0.0361199184875384
"1309" "star1.64G10" "4043" 1.67762675715996 0.0467099929615472
"1318" "stg.31F08" "2984" 2.09866299431806 0.0179233094959158
"1323" "stg.32A01" "608" 2.09866299431806 0.0179233094959158
"1353" "Tk.60H10" "795" 1.91957572337025 0.0274557564731287
"1363" "tll.31H09" "4890" 2.36876713385107 0.00892374329591014
"1377" "TyrR.68B03" "73" 1.9601762504849 0.0249875966824067
"1378" "TyrR.68B04" "1114" 1.9601762504849 0.0249875966824067
"1384" "Ubx.31E09" "1528" 1.77994157250592 0.0375427615890342
"1400" "Ubx.32E11" "5113" 1.91957572337025 0.0274557564731287
"1414" "Vsx2.78H08" "2584" 1.79542000460827 0.0362934037845135
"1419" "vvl.17C08" "723" 1.98036069765847 0.0238315064489833
"1425" "vvl.19A07" "4154" 1.98036069765847 0.0238315064489833
"1471" "Wnt6.24G05" "1848" 2.12277030810544 0.0168865520427487
